epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,224.392,0.30026,0.88474,1,0.24716,0.000554809,0.000554809,0.000554809
2,381.356,0.26423,0.8821,1,0.2529,0.00100054,0.00100054,0.00100054
3,537.302,0.26407,0.88288,1,0.26482,0.00133625,0.00133625,0.00133625
4,691.394,0.25354,0.90096,1,0.21321,0.0011719,0.0011719,0.0011719
5,845.454,0.22989,0.91465,1,0.19265,0.00100687,0.00100687,0.00100687
6,1003.83,0.20452,0.9278,1,0.1701,0.000841835,0.000841835,0.000841835
7,1167.49,0.17631,0.94306,1,0.13994,0.000676802,0.000676802,0.000676802
8,1332.14,0.15145,0.95627,1,0.11443,0.000511769,0.000511769,0.000511769
9,1493.86,0.12207,0.9615,1,0.09851,0.000346736,0.000346736,0.000346736
10,1656.49,0.1008,0.96721,1,0.08693,0.000181703,0.000181703,0.000181703
